Samples	Raw Base(bp)	Clean Base(bp)	Average coverage	Mapping rate(%)
EC1-1	10.23	10.2	47.22	99.19
EC1-2	11.14	11.11	51.44	99.37
EB6-1	11.39	11.35	52.55	99.39
EB1-1	11.48	11.44	52.96	99.49
EB1-2	11.16	11.13	51.53	99.24
EA1-1	10.83	10.8	50.0	99.31
EA1-2	9.97	9.94	46.02	99.03
EA1-3	10.65	10.62	49.17	99.29
EB3-1	11.34	11.3	52.31	99.34
EB3-2	11.36	11.32	52.41	99.55
EB3-3	11.18	11.14	51.57	99.39
WA1-1	11.26	11.23	51.99	98.84
WA1-2	11.56	11.52	53.33	98.68
WA1-3	10.56	10.52	48.7	99.2
WA3-1	11.19	11.14	51.57	99.14
WA3-2	11.04	11.01	50.97	99.14
WA3-3	11.05	11.02	51.02	98.78
WA2-1	10.86	10.81	50.05	97.58
WA2-2	11.13	11.09	51.34	99.09
WA2-3	10.87	10.83	50.14	98.85
WC2-1	10.06	10.03	46.44	99.01
WC2-2	11.19	11.15	51.62	98.88
WC2-3	10.85	10.81	50.05	99.01
WC1-1	10.91	10.87	50.32	99.06
WC1-2	10.99	10.94	50.65	99.06
WC1-3	11.09	11.05	51.16	98.65
WB1-1	10.68	10.64	49.26	98.93
WB1-2	11.35	11.3	52.31	99.03
WB1-3	11.24	11.19	51.81	99.18
EC2-1	11.24	11.21	51.9	98.74
EC2-2	11.02	10.98	50.83	99.45
EC2-3	10.92	10.87	50.32	99.26
EB4-1	11.08	11.04	51.11	99.47
EB4-2	10.93	10.88	50.37	99.46
EB5-1	11.04	11.0	50.93	99.18
EB5-2	11.54	11.5	53.24	99.31
EB5-3	10.99	10.95	50.69	99.22
MA3-1	11.54	11.49	53.19	99.29
MA3-2	11.16	11.11	51.44	99.3
MA3-3	11.25	11.2	51.85	99.54
MA2-1	11.1	11.06	51.2	99.29
MA2-2	10.22	10.18	47.13	97.59
MA2-3	10.92	10.88	50.37	97.47
EC4-1	11.09	11.02	51.02	99.38
EC4-2	10.81	10.69	49.49	99.14
WB2-1	31.79	31.66	146.57	99.22
WB2-2	31.41	31.31	144.95	99.32
WB2-3	34.77	34.66	160.46	99.17
WB2-4	30.68	30.58	141.57	99.11
WB2-5	32.9	32.74	151.57	99.2
WB2-6	30.78	30.65	141.9	99.21
WB2-7	30.08	29.95	138.66	99.34
WB2-8	31.66	31.55	146.06	99.36
WB2-9	24.5	24.39	112.92	99.09
WB2-10	31.05	30.92	143.15	99.29
MA1-10	33.62	33.5	155.12	99.2
MA1-11	31.01	30.87	142.93	99.5
MA1-1	30.72	30.59	141.64	99.27
MA1-2	30.96	30.83	142.73	99.52
MA1-3	30.82	30.7	142.12	99.45
MA1-4	32.85	32.72	151.49	99.33
MA1-5	30.47	30.36	140.57	99.17
MA1-6	31.1	30.98	143.44	99.3
MA1-7	31.02	30.9	143.08	99.38
MA1-8	31.44	31.3	144.92	99.38
MA1-9	30.76	30.65	141.92	99.28
EB2-1	28.31	28.19	130.51	99.35
EB2-2	28.27	28.14	130.28	99.09
EB2-3	29.62	29.51	136.62	98.25
EB2-4	31.64	31.5	145.83	98.95
EB2-5	29.89	29.79	137.92	88.37
EB2-6	31.71	31.57	146.16	99.38
EB2-7	32.99	32.82	151.94	98.95
EB2-8	31.13	30.92	143.15	99.2
EB2-9	30.57	30.46	141.02	95.16
EB2-10	29.71	29.56	136.85	98.27
EB2-11	29.6	29.46	136.39	95.53
WC3-S	32.94	32.84	152.04	98.54
WC3-S	29.84	29.72	137.59	99.14
WC3-S	30.65	30.56	141.48	98.57
WC3-S	30.43	30.34	140.46	97.66
WC3-S	33.72	33.6	155.56	98.73
WC3-S	31.1	31.0	143.52	99.13
EA2-1	32.34	32.21	149.12	99.05
EA2-2	30.55	30.43	140.88	99.21
EA2-3	29.91	29.76	137.78	99.6
EA2-4	32.9	32.74	151.57	99.57
EA2-5	32.24	32.09	148.56	95.28
EA2-6	32.02	31.88	147.59	96.95
EA2-7	30.68	30.55	141.44	96.21
EA2-8	31.66	31.52	145.93	80.28
EA2-9	32.11	31.97	148.01	95.41
EA2-10	32.09	31.96	147.96	97.51
BA2-1	10.47	10.41	48.19	99.31
BA2-2	10.47	10.41	48.19	98.58
BA2-3	10.52	10.46	48.43	99.12
BA3-1	10.47	10.42	48.24	99.12
BA3-2	10.6	10.55	48.84	99.0
BA1-1	10.53	10.45	48.38	99.1
BA1-2	10.64	10.55	48.84	97.66
BA1-3	10.61	10.54	48.8	97.6
EC3-1	10.13	10.06	46.57	96.95
EC3-3	10.25	10.18	47.13	96.94
EC5-1	10.42	10.37	48.01	98.86
EC5-2	10.25	10.19	47.18	99.1
EC5-3	10.01	9.95	46.06	98.86
